AB,Abe
AD,Aid
AF,Afro
AG,Age
AH,Arthur
AI,Alli
AK,Ace
AL,Al
AN,Anne
AO,Aoli
AP,Apple
AQ,Aqua
AS,Ass
AT,At
AU,Aus
AV,Ave
AW,Aww
AX,Ax
BA,Barb
BD,Bed
BE,Bee
BF,Beef
BG,Bag
BH,Bath
BI,Bib
BK,Bike
BL,Bill
BO,Boob
BP,Bop
BR,Bar
BS,Bus
BT,Bat
BU,Bub
BV,Bev
BW,Bow
BX,Box
DA,Dada
DB,Deb
DE,Deed
DG,Dog
DH,Death
DK,Duck
DL,Doll
DN,Dean
DO,Dodo
DP,Dip
DQ,Dutch
DR,Door
DS,Desk
DT,Dot
DU,Due
DV,Dev
DW,Dew
DX,"Dex, Dash"
EB,Elbow
ED,Ed
EF,Effile 
EG,Egg
EH,Earth
EI,Eli
EK,Elk
EL,Elle
EN,Ender
EO,Elmo
EP,Epee
EQ,Etch
ES,Yes
ET,ET (Eat)
EU,Europe
EV,Eve
EW,Ewe
EX,Eshay
FA,Fay
FB,Ferb
FE,Free
FG,Fag
FH,Faith
FK,Fuck
FL,Fail
FN,Fan
FO,Floof
FP,Fap
FQ,Filch
FR,Four
FS,Fuzz
FT,Fat
FU,Fugu
FV,Five
FW,Fawn
FX,Fox
GA,Gag
GB,Gib
GD,God
GE,Geese
GF,Golf
GH,Goth
GI,Giga
GK,Goku
GN,Gun
GO,Go
GP,Gypsy
GQ,Gulch
GR,Gear
GS,Gus
GT,Got
GV,Gav
GW,Gwent
GX,Gaisha
HA,Haha
HB,Hubby
HD,Head
HE,Helium
HF,Hoof
HG,Hog
HI,High
HK,Hack
HL,Hill
HN,Hen
HO,Hobo
HP,Hop
HQ,Hatcher
HR,Hare
HT,Hot
HU,Hula
HV,Hive
HW,Hawk
IA,India
IB,Ibis
IE,Int. Exp/isle
IG,Ing
IH,Isiah
IK,Ike
IL,Ill
IN,Inn
IO,Igloo
IP,Imp
IQ,Itch
IR,Ireland
IS,Izzy
IT,It
IU,Inu
IV,Ivy
IW,Inkwell
IX,Index
KA,Koala
KB,Kebab
KD,Kid
KE,Key
KF,Coffee
KG,Keg
KH,Keith
KI,Kiri
KL,Kale
KN,Ken
KO,Coco
KQ,Katchi
KR,Car
KS,Kiss
KT,Kitkat
KU,Kuck
KW,Kiwi
KX,Kesha
LA,Lala
LB,Lebron
LD,Lead
LE,Lee
LF,Loaf
LH,Leah
LI,Lilly
LK,Lake
LN,Lan
LO,Loo
LP,Lip
LQ,Leach
LR,Larry
LS,Lisa
LT,Lit
LV,Love
LW,Law
LX,Lash
NA,Nana
ND,Ned
NE,Knee
NF,Knife
NG,Knight
NH,Noah
NI,Nine
NK,Nike
NL,Nile
NO,No
NP,Nip
NR,Nora
NS,Nose
NT,Knit
NU,Nut
NV,Knave
NW,Newt
NX,Nashi
OA,Oasis
OB,Oboe
OD,Odd
OE,One
OF,Olaf
OG,Ogre
OH,Oath
OI,Oni
OK,Oak
OL,Oil
ON,On
OP,Oprah
OQ,Ostrich
OR,Oar
OS,Oz
OU,Out
OV,Oval
OX,Ox
PA,Papaya
PB,Pub
PD,Pad
PE,Peas
PF,Puff
PG,Pug
PH,Path
PI,Pip
PL,Pill
PN,Pen
PO,Poo
PQ,Pooch
PR,Pear
PS,Piss
PT,Pot
PU,Puma
PW,Paw
PX,Push
QA,Chai
QD,Chode
QE,Cheese
QF,Chef
QG,Qagmire
QH,Cheetah
QI,Chi
QK,Chick
QL,Chili
QO,Cho
QP,Chomper
QR,Charcoal
QS,Chase
QT,Chat
QU,Chungus
QV,Chevron
QW,Chowder
QX,Chesha
RB,Ribs
RD,Rod
RF,Raft
RG,Rag
RH,Wrath
RI,Riri
RK,Rake
RL,Rail
RN,Ron
RO,Roo
RP,Rope
RQ,Rachael
RS,Russ
RT,Rat
RU,Ruby
RV,Raven
RW,Raw
RX,Rash
SA,SA
SB,Seb
SD,Sid
SE,Seer
SF,Sofa
SG,Stig
SI,Sis
SK,Sick
SL,Sail
SN,Sun
SO,Spool
SP,Sap
SQ,Satchel
SR,Sour
ST,Sit
SU,Suit
SV,Seven
SW,Sew
TA,Tat
TB,Tub
TD,Todd
TE,Tee
TF,Tiff
TG,Tag
TH,Teeth
TI,Tits
TK,Tik Tok
TL,Tool
TN,Toon
TP,Tap
TQ,Teacher
TR,Tear
TS,Tess
TU,Tutu
TV,Tavern
TX,Trash
UA,Umbrella
UB,Uber
UD,Udder
UE,Ute
UF,Ufo
UH,Utah Jazz
UI,Uzi
UK,Uke
UN,UN
UO,Uno
UP,Up
UQ,Urchin
UR,Uranus
US,US
UT,U Turn
UV,Uvula
UW,Underwear
UX,Usher
VA,Visa
VB,Vibrator
VD,Vader
VE,V
VF,Venus Flytrap
VG,Vag
VH,Vi Hart
VI,Vise
VL,Vial
VN,Van
VO,Volcano
VQ,Voucher
VR,Varys
VS,Vase
VT,Vet
VU,Vacuum
VW,View
VX,Vixen
WA,Waluigi
WB,Web
WD,Wade
WE,Weed
WF,Wife
WG,Wag
WH,Whale
WI,Wii
WK,Wok
WL,Will
WN,Wine
WP,Wap
WQ,Watch
WR,Worm
WS,Walrus
WU,Windu
WV,Wave
WX,Welsh
XA,Sheniya
XB,Shiba
XD,Shed
XE,Sheen
XF,Sheaf
XG,Shaggy
XI,Shi
XK,Shark
XL,Shell
XN,Shan
XO,Shoe
XP,Ship
XQ,Shaq
XR,Sharon
XT,Shit
XU,Shut
XV,Shave
XW,Shower
