AB,Abe
AD,Aid
AE,Ale
AF,Afro
AG,Age
AH,Arthur
AJ,Astor
AK,Ace
AL,Al
AM,Ammo
AN,Anne
AO,Aoli
AP,Apple
AR,Are
AS,Ass
AT,At
AU,Aus
AV,Ave
AW,Aww
AX,Ax
BA,Barb
BD,Bed
BE,Bee
BF,Beef
BG,Bag
BH,Bath
BJ,Best
BK,Bike
BL,Bill
BN,Bean
BO,Boob
BP,Bop
BQ,Bach
BR,Bar
BS,Bus
BT,Bat
BU,Bub
BV,Bev
BW,Bow
BX,Box
DA,Dada
DB,Deb
DF,Deaf
DG,Dog
DH,Death
DJ,Dust
DK,Duck
DL,Doll
DM,Dom
DN,Dean
DO,Dodo
DP,Dip
DQ,Dutch
DR,Door
DS,Desk
DT,Dot
DU,Due
DV,Dev
DW,Dew
DX,Dex
EA,Ella
EB,Elbow
EF,Effile 
EG,Egg
EH,Earth
EJ,Ester
EK,Elk
EL,Elle
EM,Em
EN,Ender
EO,Elmo
EP,Epee
EQ,Etch
ER,Eraser
ES,Yes
ET,ET (Eat)
EU,Europe
EV,Eve
EW,Ewe
EX,Eshay
FA,Fay
FB,Ferb
FD,Food
FE,Free
FG,Fag
FH,Faith
FJ,First
FK,Fuck
FM,Fam
FN,Fan
FO,Floof
FP,Fap
FQ,Filch
FR,Four
FS,Fuzz
FT,Fat
FU,Fugu
FV,Five
FW,Fawn
FX,Fox
GA,Gag
GB,Gib
GD,God
GE,Geese
GF,Golf
GH,Goth
GJ,Gust
GK,Goku
GL,Girl
GM,Gem
GN,Gun
GO,Go
GP,Gypsy
GQ,Gulch
GR,Gear
GS,Gus
GT,Got
GU,Gue
GV,Gav
GW,Gwent
HA,Haha
HB,Hubby
HD,Head
HE,Helium
HF,Hoof
HG,Hog
HJ,Hijab
HK,Hack
HL,Hill
HM,Ham
HN,Hen
HO,Hobo
HP,Hop
HQ,Hatcher
HS,Horse
HT,Hot
HU,Hula
HV,Hive
HW,Hawk
HX,Hoax
JA,Ja
JB,Job
JD,Jedi
