Pair,Description,Alg,Memo,Category,Notes
AB,"[R' B' R : [R D R' , U']]",R' B' R2 D R' U' R D' R' U R' B R,Abe,U'-swap,
AD,"[R' D R U2 : [R' D' R , U]]",R' D R U2 R' D' R U R' D R U R' D' R,Aid,U-swap,
AF,"[F : [U2 , F' R F R']]",F U2 F' R F R' U2 R F' R',Afro,U2-swap,
AG,"[R' D R , U2]",R' D R U2 R' D' R U2,Age,U2-swap,
AH,"[U' : [R D' R' , U2]]",U' R D' R' U2 R D R' U',Arthur,U2-swap,
AI,"[r D' U : [R D R' , U2]]",r D' U R D R' U2 R D' R' U D r',Alli,U2-swap,
AK,"[D U' : [R D R' , U2]]",D U' R D R' U2 R D' R' U' D',Ace,U2-swap,
AL,"[D : [R' D' R , U2]]",D R' D' R U2 R' D R U2 D',Al,U2-swap,
AN,"[R' U D R2 : [U' , R' D' R]]",R' U D R2 U' R' D' R U R' D R' D' U' R,Anne,U'-swap,
AO,"[U' : [R D R' , U2]]",U' R D R' U2 R D' R' U',Aoli,U2-swap,
AP,"[R' D' R , U2]",R' D' R U2 R' D R U2,Apple,U2-swap,
AQ,"[R' U D : [R D R' , U2]]",R' U D R D R' U2 R D' R' U2 D' U' R,Aqua,U2-swap,
AS,"[D' U' : [R D R' , U2]]",D' U' R D R' U2 R D' R' U' D,Ass,U2-swap,
AT,"[D U' : [R D' R' , U2]]",D U' R D' R' U2 R D R' U' D',At,U2-swap,
AU,"[R F' R' U' : [R D R' , U2]]",R F' R' U' R D R' U2 R D' R' U' R F R',Aus,U2-swap,
AV,"[R' D R U' R D' R' , U2]",R' D R U' R D' R' U2 R D R' U R' D' R U2,Ave,U2-swap,
AW,"[R D' R' : [R' D R , U2]]",R D' R2 D R U2 R' D' R U2 R D R',Aww,U2-swap,
AX,"[R' U' D' R : [R U' R' , D]]",R' U' D' R2 U' R' D R U R' D' R' D U R,Ax,D-swap,
BA,"[R' B' R : [U' , R D R']]",R' B' R U' R D R' U R D' R2 B R,Barb,U'-swap,
BD,"[R F' R' : [R' D R, U]]",R F' R2 D R U R' D' R U' R F R',Bed,U-swap,
BE,"[R : [U , R D R']]",R U R D R' U' R D' R2,Bee,U-swap,
BF,"[R2 : [D' , R U' R']]",R2 D' R U' R' D R U R,Beef,D'-swap,
BG,"[R' D R , U]",R' D R U R' D' R U',Bag,U-swap,
BH,"[U' , R D' R']",U' R D' R' U R D R',Bath,U'-swap,
BI,"[R2 U' : [D' , R U R']]",R2 U' D' R U R' D R U' R' U R2,Bib,D'-swap,
BK,"[D' : [R' D R , U]]",D' R' D R U R' D' R U' D,Bike,U-swap,
BL,"[D : [R' D' R , U]]",D R' D' R U R' D R U' D',Bill,U-swap,
BO,"[U' , R D R']",U' R D R' U R D' R',Boob,U'-swap,
BP,"[R' D' R , U]",R' D' R U R' D R U',Bop,U-swap,
BR,"[R2 U : [R' U' R , D]]",R2 U R' U' R D R' U R D' U' R2,Bar,D-swap,
BS,"[D' : [U' , R D R']]",D' U' R D R' U R D' R' D,Bus,U'-swap,
BT,"[D : [U' , R D' R']]",D U' R D' R' U R D R' D',Bat,U'-swap,
BU,"[R F' : [R' U' R , D]]",R F' R' U' R D R' U R D' F R',Bub,D-swap,
BV,"[R' D R U' R D' R' , U]",R' D R U' R D' R' U R D R' U R' D' R U',Bev,U-swap,
BW,"[U' , R D' R' U R' D R]",U' R D' R' U R' D R U R' D' R U' R D R',Bow,U'-swap,
BX,"[R' B : [D' , R U R']]",R' B D' R U R' D R U' R' B' R,Box,D'-swap,
DA,"[R' D R U' : [R' D' R , U']]",R' D R U' R' D' R U' R' D R U2 R' D' R,Dada,U'-swap,
DB,"[R F' R' : [U , R' D R]]",R F' R' U R' D R U' R' D' R2 F R',Deb,U-swap,
DE,"[U' R2 : [D , R' U2 R]]",U' R2 D R' U2 R D' R' U2 R' U,Deed,D-swap,
DG,"[R' D R , U']",R' D R U' R' D' R U,Dog,U'-swap,
DH,"[U' : [R D' R' , U']]",U' R D' R' U' R D R' U2,Death,U'-swap,
DK,"[D' : [R' D R , U']]",D' R' D R U' R' D' R U D,Duck,U'-swap,
DL,"[D : [R' D' R , U']]",D R' D' R U' R' D R U D',Doll,U'-swap,
DN,"[U' R' : [U2 , R' D' R]]",U' R' U2 R' D' R U2 R' D R2 U,Dean,U2-swap,
DO,"[U' : [R D R' , U']]",U' R D R' U' R D' R' U2,Dodo,U'-swap,
DP,"[R' D' R , U']",R' D' R U' R' D R U,Dip,U'-swap,
DQ,"[R' D' : [U' , R' D R]]",R' D' U' R' D R U R' D' R D R,Dutch,U'-swap,
DR,"[U' R' : [U' , R' D' R]]",U' R' U' R' D' R U R' D R2 U,Door,U'-swap,
DS,"[D : [R' D R , U']]",D R' D R U' R' D' R U D',Desk,U'-swap,
DT,"[D' : [R' D' R , U']]",D' R' D' R U' R' D R U D,Dot,U'-swap,
DU,"[R' U' R : [F2' , R' U R U']]",R' U' R F2' R' U R U' F2 U,Due,F2-swap,
DV,"[R' D R U' R D' R' , U']",R' D R U' R D' R' U' R D R' U R' D' R U,Dev,U'-swap,
DW,"[R D' R' : [R' D R , U']]",R D' R2 D R U' R' D' R U R D R',Dew,U'-swap,
DX,"[R' D' R : [R U' R' , D]]",R' D' R2 U' R' D R U R' D' R' D R,"Dex, Dash",D-swap,
EB,"[R2 : [D , R' U R]]",R2 D R' U R D' R' U' R',Elbow,D-swap,
ED,"[U' R : [U2 , R D R']]",U' R U2 R D R' U2 R D' R2 U,Ed,U2-swap,
EF,"[U' R' F : [D , R U R']]",U' R' F D R U R' D' R U' R' F' R U,Effile ,D-swap,
EG,"[U R' : [U' , R' D R]]",U R' U' R' D R U R' D' R2 U',Egg,U'-swap,
EH,"[R D' : [R D R' , U]]",R D' R D R' U R D' R' U' D R',Earth,U-swap,
EI,"[l' U : [R D' R' , U2]]",l' U R D' R' U2 R D R' U l,Eli,U2-swap,
EK,"[U D' R' : [U' , R' D R]]",U D' R' U' R' D R U R' D' R2 D U',Elk,U'-swap,
EL,"[R U : [R' D R , U]]",R U R' D R U R' D' R U2 R',Elle,U-swap,
EN,"[R' D R2 D' R2' : [U , R2 D R2' D' R2]]",R' D R2 D' R2' U R2 D R2' D' R2 U' R',Ender,U-swap,
EO,"[U' R : [R U' R' , D']]",U' R2 U' R' D' R U R' D R' U,Elmo,D'-swap,
EP,"[U R' U2 : [R D R' , U]]",U R' U2 R D R' U R D' R' U R U',Epee,U-swap,
EQ,"[R' , F' L F]",R' F' L F R F' L' F,Etch,R'-swap,
ES,"[U D R' : [U' , R' D R]]",U D R' U' R' D R U R' D' R2 D' U',Yes,U'-swap,
ET,"[R U : [R' D' R , U]]",R U R' D' R U R' D R U2 R',Eight,U-swap,
EU,"[D' R : [R D' R' , U]]",D' R2 D' R' U R D R' U' R' D,Europe,U-swap,
EV,"[U R' D' : [U' , R' D' R]]",U R' D' U' R' D' R U R' D R D R U',Eve,U'-swap,
EW,"[D R : [R D' R', U]]",D R2 D' R' U R D R' U' R' D',Ewe,U-swap,
EX,"[R : [R D' R' , U]]",R2 D' R' U R D R' U' R',Eshay,U-swap,
FA,"[F : [R' D' R , U2]]",F R' D' R U2 R' D R U2 F',Fay,U2-swap,
FB,"[R' : [U' , R' D' R]]",R' U' R' D' R U R' D R2,Ferb,U'-swap,
FE,"[U' R' U , L]",U' R' U L U' R U L',Free,L-swap,
FG,"[R' U' : [D , R U R']]",R' U' D R U R' D' R U' R' U R,Fag,D-swap,
FH,"[U' R U' : [D' , R' U R]]",U' R U' D' R' U R D R' U' R U R' U,Faith,D'-swap,
FK,"[R : [F , R' U R U']]",R F R' U R U' F' U R' U',Fuck,F-swap,
FL,"[D R' U' : [D' , R U R']]",D R' U' D' R U R' D R U' R' U R D',Fail,D'-swap,
FN,"[R U' D' R' : [D , R' U R]]",R U' D' R' D R' U R D' R' U' R2 D U R',Fan,D-swap,
FO,"[D' R : [F , R' U R U']]",D' R F R' U R U' F' U R' U' D,Floof,F-swap,
FP,"[R' U' : [D' , R U R']]",R' U' D' R U R' D R U' R' U R,Fap,D'-swap,
FQ,"[R' F : [R U R' , D]]",R' F R U R' D R U' R' D' F' R,Filch,D-swap,
FR,"[l U' l' , F]",l U' l' F l U l' F',Four,F-swap,
FS,"[l U2 l' , F]",l U2 l' F l U2 l' F',Fuzz,F-swap,
FT,"[D' R' U' : [D' , R U R']]",D' R' U' D' R U R' D R U' R' U R D,Fat,D'-swap,
FU,"[U' R' U : [R U' R' , D]]",U' R' U R U' R' D R U R' D' U' R U,Fugu,D-swap,
FV,"[U' D' R' U : [R U' R' , D]]",U' D' R' U R U' R' D R U R' D' U' R D U,Five,D-swap,
FW,"[R U' R' : [D , R' U R]]",R U' R' D R' U R D' R' U' R2 U R',Fawn,D-swap,
FX,"[U' D R' U : [R U' R' , D]]",U' D R' U R U' R' D R U R' D' U' R D' U,Fox,D-swap,
GA,"[U2 , R' D R]",U2 R' D R U2 R' D' R,Gag,U2-swap,
GB,"[U , R' D R]",U R' D R U' R' D' R,Gib,U-swap,
GD,"[U' , R' D R]",U' R' D R U R' D' R,God,U'-swap,
GE,"[U R' : [R' D R , U']]",U R2 D R U' R' D' R U R U',Geese,U'-swap,
GF,"[R' U' : [R U R' , D]]",R' U' R U R' D R U' R' D' U R,Golf,D-swap,
GH,"[D R' : [F' , R D' R']]",D R' F' R D' R' F R,Goth,F'-swap,
GI,"[D R' : [F2 , R D' R' D]]",D R' F2 R D' R' D F2 D' R,Giga,F2-swap,
GK,"[U : [D , R U' R']]",U D R U' R' D' R U R' U',Goku,D-swap,
GN,"[U R U : [R' D R , U2]]",U R U R' D R U2 R' D' R U R' U',Gun,U2-swap,
GO,"[U D : [R U' R' , D2]]",U D R U' R' D2 R U R' D U',Go,D2-swap,
GP,"[U R' D : [R U' R' , D2]]",U R' D R U' R' D2 R U R' D R U',Gypsy,D2-swap,
GQ,"[R' U : [R U' R' , D]]",R' U R U' R' D R U R' D' U' R,Gulch,D-swap,
GR,"[R B' R' : [R' D R , U]]",R B' R2 D R U R' D' R U' R B R',Gear,U-swap,
GS,"[U D : [R U' R' , D]]",U D R U' R' D R U R' D2 U',Gus,D-swap,
GT,"[R' D R : [D' , R U R']]",R' D R D' R U R' D R U' R2 D' R,Got,D'-swap,
GV,"[U D R D' : [U' , R' D R]]",U D R D' U' R' D R U R' D' R D R' D' U',Gav,U'-swap,
GW,"[U R : [D , R U' R']]",U R D R U' R' D' R U R2 U',Gwent,D-swap,
GX,"[D U R U' : [F2' , U R' U' R]]",D U R U' F2' U R' U' R F2 R' D',Gaisha,F2-swap,
HA,"[U : [R D' R' , U2]]",U R D' R' U2 R D R' U,Haha,U2-swap,
HB,"[R D' R' , U']",R D' R' U' R D R' U,Hubby,U'-swap,
HD,"[U2 : [R D' R' , U]]",U2 R D' R' U R D R' U,Head,U-swap,
HE,"[R D' : [U , R D R']]",R D' U R D R' U' R D' R' D R',Helium,U-swap,
HF,"[U' R U' : [R' U R , D']]",U' R U' R' U R D' R' U' R D U R' U,Hoof,D'-swap,
HG,"[R' D : [F' , D' R D R']]",R' D F' D' R D R' F R D',Hog,F'-swap,
HI,"[R U' D : [R' D R , U2]]",R U' D R' D R U2 R' D' R U2 D' U R',High,U2-swap,
HK,"[l' U : [D , R U' R']]",l' U D R U' R' D' R U R' U' l,Hack,D-swap,
HL,"[D2 : [R U R' , D']]",D2 R U R' D' R U' R' D',Hill,D'-swap,
HN,"[U R : [R D' R' , U2]]",U R2 D' R' U2 R D R' U2 R' U',Hen,U2-swap,
HO,"[R D' : [R' U' R , D2]]",R D' R' U' R D2 R' U R D' R',Hobo,D2-swap,
HP,"[D2 , R U R']",D2 R U R' D2 R U' R',Hop,D2-swap,
HQ,"[U' L U , R]",U' L U R U' L' U R',Hatcher,R-swap,
HR,"[U D R' F' : [D , R U' R']]",U D R' F' D R U' R' D' R U R' F R D' U',Hare,D-swap,
HT,"[D2 : [R U R' , D]]",D2 R U R' D R U' R' D,Hot,D-swap,
HU,"[D R U' R' : [R' D R , U2]]",D R U' R2 D R U2 R' D' R U2 R U R' D',Hula,U2-swap,
HV,"[R U' D R' : [R' D R , U2]]",R U' D R2 D R U2 R' D' R U2 R D' U R',Hive,U2-swap,
HW,"[R D' R' : [R' D R , U]]",R D' R2 D R U R' D' R U' R D R',Hawk,U-swap,
IA,"R' D R U' R : [F , R' U R U']",R' D R U' R,India,F-swap,
IB,"[R2 U' : [R U R' , D']]",R2 U' R U R' D' R U' R' D U R2,Ibis,D'-swap,
IE,"[l' U' : [R D' R' , U2]]",l' U' R D' R' U2 R D R' U' l,Int. Exp/isle,U2-swap,
IG,"[R' D : [F2 , D' R D R']]",R' D F2 D' R D R' F2 R D',Ing,F2-swap,
IH,"[R U D : [R' D R , U2]]",R U D R' D R U2 R' D' R U2 D' U' R',Isiah,U2-swap,
IK,"[D' R' D : [F2 , D' R D R']]",D' R' D F2 D' R D R' F2 R,Ike,F2-swap,
IL,"[R U : [R' D R , U2]]",R U R' D R U2 R' D' R U R',Ill,U2-swap,
IN,"[R' F' R D U : [U2 , R' D' R]]",R' F' R D U' R' D' R U2 R' D R U' D' R' F R,Inn,U2-swap,
IO,"[R D' U : [R' D R , U2]]",R D' U R' D R U2 R' D' R U D R',Igloo,U2-swap,
IP,"[D R U : [R' D' R , U2]]",D R U R' D' R U2 R' D R U R' D',Imp,U2-swap,
IQ,"[R U D' : [R' D' R , U2]]",R U D' R' D' R U2 R' D R U2 D U' R',Itch,U2-swap,
