Name,Description,Alg,Category,Notes
AB,"[R2 U' : [S , R2']]",R2 U' S R2' S' R2 U R2,4-Mover,
AD,"[L2' U : [S' , L2]]",L2' U S' L2 S L2 U' L2,4-Mover,
AE,"[U' M U' : [M' , U2]]",U' M U' M' U2 M U' M' U,4-Mover,
AF,"[U' : [R' E R , U2]]",U' R' E R U2 R' E' R U',U-Swap,
AG,"[U : [L' E' L , U2']]",U L' E' L U2' L' E L U,U-Swap,
AH,"[U' : [R E' R' , U2]]",U' R E' R' U2 R E R' U',U-Swap,
AJ,"[R' U' : [S , R2']]",R' U' S R2' S' R2 U R,4-Mover,
AK,"[R' F' : [R U R' , E]]",R' F' R U R' E R U' R' E' F R,E-Swap,
AL,"[L U : [S' , L2']]",L U S' L2' S L2 U' L',4-Mover,
AM,"[U M U : [M' , U2']]",U M U M' U2' M U M' U',4-Mover,
AN,"[U : [L' E L , U2']]",U L' E L U2' L' E' L U,U-Swap,
AO,"[U' : [R E R' , U2]]",U' R E R' U2 R E' R' U',U-Swap,
AP,"[U : [L E' L' , U2']]",U L E' L' U2' L E L' U,U-Swap,
AR,"[L' U' : [L2 , S']]",L' U' L2 S' L2 S U L,4-Mover,
AS,"[U' R' B R : [S , R2']]",U' R' B R S R2' S' R B' R U,4-Mover,
AT,"[R U : [R2' , S]]",R U R2' S R2 S' U' R',4-Mover,
AU,"[U2 , M']",U2 M' U2 M,4-Mover,
AV,"[U' : [S , R2']]",U' S R2' S' R2 U,4-Mover,
AW,"[M , U2]",M U2 M' U2,4-Mover,
AX,"[U : [S' , L2']]",U S' L2' S L2 U',4-Mover,
BA,"[R2 U' : [R2' , S]]",R2 U' R2' S R2 S' U R2,4-Mover,
BD,"[M2' U : [M , U2']]",M2' U M U2' M' U M2,4-Mover,
BE,"[S' , L F' L']",S' L F' L' S L F L',S-Swap,
BF,"[U' , R' E R]",U' R' E R U R' E' R,U-Swap,
BG,"[U : [L' E' L , U]]",U L' E' L U L' E L U2,U-Swap,
BH,"[U' , R E' R']",U' R E' R' U R E R',U-Swap,
BJ,"[E' : [U' , R' E R]]",E' U' R' E R U R' E' R E,U-Swap,
BK,"[r : [U' R' U , M]]",r U' R' U M U' R U M' r',M-Swap,
BL,"[U' , R E2 R']",U' R E2 R' U R E2 R',U-Swap,
BN,"[U : [L' E L , U]]",U L' E L U L' E' L U2,U-Swap,
BO,"[U' , R E R']",U' R E R' U R E' R',U-Swap,
BP,"[U : [L E' L' , U]]",U L E' L' U L E L' U2,U-Swap,
BQ,"[r' : [U' R U , M']]",r' U' R U M' U' R' U M r,M-Swap,
BR,"[U' , R' E2 R]",U' R' E2 R U R' E2 R,U-Swap,
BS,(U M U M')2,(U M U M')2,Alg,
BT,"[u' : [R E' R' , U]]",u' R E' R' U R E R' U' u,U-Swap,
BU,"[L F : [L' S' L , F2']]",L F L' S' L F2' L' S L F L',F-Swap,
BV,"[R' U R' : [S , R2]]",R' U R' S R2 S' R' U' R,4-Mover,
BW,"[r M' : [U' R' U , M2']]",r M' U' R' U M2' U' R U M' r',M-Swap,
BX,U' L' U' L U L U L U' L',U' L' U' L U L U L U' L',Alg,
