Name,Description,Alg,Category,Notes
CA,U' Start,U' S R' F' R S' R' F R U' M' U2 M,Cyclic-Shift,
CB,R' F Start,R' F R U' M' U2 M U' S R' F' R S',Cyclic-Shift,
CD,U' Setup,U' R' F R U' M' U2 M U' S R' F' R S' U,Cyclic-Shift,
CL,[R' E R : U'] [R E2 R' : U],R' E R U' R' E' R2 E2 R' U R E2 R',Top-Side,
CR,[R E' R' : U'] [R' E2 R : U],R E' R' U' R E R2 E2 R U R' E2 R,Top-Side,
CJ,[L E' L' : U] [L' E2' L : U'],L E' L' U L E L2 E2' L U' L' E2 L,Top-Side,
CT,[L' E L : U] [L E2' L' : U'],L' E L U L' E' L2 E2' L' U' L E2 L',Top-Side,
CV,"U [R E R' : U2] [S , R2'] U",U R E R' U2 R E' R' S R2' S' R2 U,Top-Bottom,U AUF cause U2 cancels
CX,"U' [L' E' L : U2'] [S' , L2] U'",U' L' E' L U2' L' E L S' L2 S L2 U',Top-Bottom,U' AUF cause U2 cancels
CU,"A Slot , B AUF",U2 M' U2 M U' S R' F' R S' R' F R U,Cyclic-Shift,
CW,"A Slot, C AUF",U2 M U' S R' F' R S' R' F R U' M',Cyclic-Shift,
AB,U Setup,U R' F R U' M' U2 M U' S R' F' R S' U',Cyclic-Shift,
AD,U2 Setup,U2 R' F R U' M' U2 M U' S R' F' R S' U2,Cyclic-Shift,
AL,[R' E R : U] [R E2 R' : U'],R' E R U R' E' R2 E2 R' U' R E2 R',Top-Side,
AR,[R E' R' : U] [R' E2 R : U'],R E' R' U R E R2 E2 R U' R' E2 R,Top-Side,
AJ,[L E' L' : U'] [L' E2' L : U],L E' L' U' L E L2 E2' L U L' E2 L,Top-Side,
AT,[L' E L : U'] [L E2' L' : U],L' E L U' L' E' L2 E2' L' U L E2 L',Top-Side,
AV,"U' [R E R' : U2] [S , R2'] U'",U' R E R' U2 R E' R' S R2' S' R2 U',Top-Bottom,
AX,"U [L' E' L : U2'] [S' , L2] U",U L' E' L U2' L' E L S' L2 S L2 U,Top-Bottom,
AU,"A Slot , B AUF",M' U2 M U' S R' F' R S' R' F R U',Cyclic-Shift,
AW,"A Slot, C AUF",M U' S R' F' R S' R' F R U' M' U2,Cyclic-Shift,
BD,S Start,S R' F' R S' R' F R U' M' U2 M U',Cyclic-Shift,
BL,U [R' E R : U'] [R E2 R' : U] U',U R' E R U' R' E' R2 E2 R' U R E2 R' U',Top-Side,
BR,U [R E' R' : U'] [R' E2 R : U] U',U R E' R' U' R E R2 E2 R U R' E2 R U',Top-Side,
BJ,[L E' L' : U2'] [L' E2' L : U2'],L E' L' U2' L E L2 E2' L U2' L' E2 L,Top-Side,
BT,[L' E L : U2'] [L E2' L' : U2'],L' E L U2' L' E' L2 E2' L' U2' L E2 L',Top-Side,
BV,"[U2 , R E R'] [S , R2']",U2 R E R' U2 R E' R' S R2' S' R2,Top-Bottom,
BX,"[L' E' L : U2'] [S' , L2] U2'",L' E' L U2' L' E L S' L2 S L2 U2',Top-Bottom,
BU,U' M' Start,U' M' U2 M U' S R' F' R S' R' F R,Cyclic-Shift,
BW,"U' M Start, U' AUF",U' M U' S R' F' R S' R' F R U' M' U',Cyclic-Shift,Split the U2 into U' U'
DL,[R' E R : U2] [R E2 R' : U2],R' E R U2 R' E' R2 E2 R' U2 R E2 R',Top-Side,
DR,[R E' R' : U2] [R' E2 R : U2],R E' R' U2 R E R2 E2 R U2 R' E2 R,Top-Side,
DJ,U' [L E' L' : U] [L' E2' L : U'] U,U' L E' L' U L E L2 E2' L U' L' E2 L U,Top-Side,
DT,U' [L' E L : U] [L E2' L' : U'] U,U' L' E L U L' E' L2 E2' L' U' L E2 L' U,Top-Side,
DV,"[R E R' : U2] [S , R2'] U2",R E R' U2 R E' R' S R2' S' R2 U2,Top-Bottom,
DX,"[U2 , L' E' L] [S' , L2]",U2 L' E' L U2 L' E L S' L2 S L2,Top-Bottom,
DU,"A Slot , B AUF",U M' U2 M U' S R' F' R S' R' F R U2,Cyclic-Shift,
DW,"A Slot, C AUF",U M U' S R' F' R S' R' F R U' M' U,Cyclic-Shift,
