Name,Description,Alg,Category,Notes
N,"[U , R' D R D' R' D R]",U R' D R D' R' D R U' R' D' R D R' D' R,Twister,
Q,"[R' D R D' R' D R , U]",R' D R D' R' D R U R' D' R D R' D' R U',Twister,
R,"[U2 , R' D R D' R' D R]",U2 R' D R D' R' D R U2 R' D' R D R' D' R,Twister,
E,"[R' D R D' R' D R , U2]",R' D R D' R' D R U2 R' D' R D R' D' R U2,Twister,
F,"[U' , R' D R D' R' D R]",U' R' D R D' R' D R U R' D' R D R' D' R,Twister,
I,"[R' D R D' R' D R , U']",R' D R D' R' D R U' R' D' R D R' D' R U,Twister,
K,PB BK,U R' D' R U' R' D R D' R' D R U R' D' R U' D,Top-Bottom,
P,KB BP,D' U R' D R U' R' D' R D R' D' R U R' D R U',Top-Bottom,
O,TB BO,D R D' R' U' R D R' U D' U' R D R' U R D' R',Top-Bottom,
T,OB BT,R D R' U' R D' R' U D U' R D' R' U R D R' D',Top-Bottom,
S,HB BS,R D' R' U' R D R' U D' U' R D R' U R D' R' D,Top-Bottom,
H,SB BH,D' R D R' U' R D' R' U D U' R D' R' U R D R',Top-Bottom,
G,LB BG,D U R' D' R U' R' D R D' R' D R U R' D' R U',Top-Bottom,
L,GB BL,U R' D R U' R' D' R D R' D' R U R' D R U' D',Top-Bottom,
RQ,"[U2 : [R' D R D' R' D R , U']]",U2 R' D R D' R' D R U' R' D' R D R' D' R U',Twister,
EN,"[U : [R' D R D' R' D R , U]]",U R' D R D' R' D R U R' D' R D R' D' R U2,Twister,
FQ,"[U' : [R' D R D' R' D R , U2]]",U' R' D R D' R' D R U2 R' D' R D R' D' R U',Twister,
IN,"[U : [R' D R D' R' D R , U2]]",U R' D R D' R' D R U2 R' D' R D R' D' R U,Twister,
KN,[R' D' R : U] [D' R' D R : U'],R' D' R U R' D R D' R' D R U' R' D' R D,Top-Bottom,
PQ,[D' R' D R : U] [R' D' R : U'],D' R' D R U R' D' R D R' D' R U' R' D R,Top-Bottom,
NO,[U' : [D R D' R' : U] [R D R' : U']],U' D R D' R' U R D R' D' R D R' U' R D' R' U,Top-Bottom,
QT,[U' : [R D R' : U] [D R D' R' : U']],U' R D R' U R D' R' D R D' R' U' R D R' D' U,Top-Bottom,
NS,[U' : [R D' R' : U] [D' R D R' : U']],U' R D' R' U R D R' D' R D R' U' R D' R' D U,Top-Bottom,Use W Slot
HQ,[U' : [D' R D R' : U] [R D' R' : U']],U' D' R D R' U R D' R' D R D' R' U' R D R' U,Top-Bottom,Use W Slot
GN,[D R' D' R : U] [R' D R : U'],D R' D' R U R' D R D' R' D R U' R' D' R,Top-Bottom,Use V Slot
LQ,[R' D R : U] [D R' D' R : U'],R' D R U R' D' R D R' D' R U' R' D R D',Top-Bottom,Use V Slot
EF,"[U' : [R' D R D' R' D R , U']]",U' R' D R D' R' D R U' R' D' R D R' D' R U2,Twister,
IR,"[U2 : [R' D R D' R' D R , U]]",U2 R' D R D' R' D R U R' D' R D R' D' R U,Twister,
KR,[R' D' R : U2] [D' R' D R : U2],R' D' R U2 R' D R D' R' D R U2 R' D' R D,Top-Bottom,
PE,[D' R' D R : U2] [R' D' R : U2],D' R' D R U2 R' D' R D R' D' R U2 R' D R,Top-Bottom,
OR,[D R D' R' : U] [R D R' : U'],D R D' R' U R D R' D' R D R' U' R D' R',Top-Bottom,
ET,[R D R' : U] [D R D' R' : U'],R D R' U R D' R' D R D' R' U' R D R' D',Top-Bottom,
RS,[R D' R' : U] [D' R D R' : U'],R D' R' U R D R' D' R D R' U' R D' R' D,Top-Bottom,
EH,[D' R D R' : U] [R D' R' : U'],D' R D R' U R D' R' D R D' R' U' R D R',Top-Bottom,
RO,[D R' D' R : U2] [R' D R : U2],D R' D' R U2 R' D R D' R' D R U2 R' D' R,Top-Bottom,
EL,[R' D R : U2] [D R' D' R : U2],R' D R U2 R' D' R D R' D' R U2 R' D R D',Top-Bottom,
FK,[R' D' R : U'] [D' R' D R : U],R' D' R U' R' D R D' R' D R U R' D' R D,Top-Bottom,
IP,[D' R' D R : U'] [R' D' R : U],D' R' D R U' R' D' R D R' D' R U R' D R,Top-Bottom,
FO,[D R D' R' : U2] [R D R' : U2],D R D' R' U2 R D R' D' R D R' U2 R D' R',Top-Bottom,
IT,[R D R' : U2] [D R D' R' : U2],R D R' U2 R D' R' D R D' R' U2 R D R' D',Top-Bottom,
FS,[R D' R' : U2] [D' R D R' : U2],R D' R' U2 R D R' D' R D R' U2 R D' R' D,Top-Bottom,
IH,[D' R D R' : U2] [R D' R' : U2],D' R D R' U2 R D' R' D R D' R' U2 R D R',Top-Bottom,
FG,[D R' D' R : U'] [R' D R : U],D R' D' R U' R' D R D' R' D R U R' D' R,Top-Bottom,
IL,[R' D R : U'] [D R' D' R : U],R' D R U' R' D' R D R' D' R U R' D R D',Top-Bottom,
OP,"[D' , R U' R' U R U' R']",D' R U' R' U R U' R' D R U R' U' R U R',Bottom-Twister,
KT,"[R U' R' U R U' R' , D']",R U' R' U R U' R' D' R U R' U' R U R' D,Bottom-Twister,
PS,"[D2 , R U' R' U R U' R']",D2 R U' R' U R U' R' D2 R U R' U' R U R',Bottom-Twister,
KH,"[R U' R' U R U' R' , D2]",R U' R' U R U' R' D2 R U R' U' R U R' D2,Bottom-Twister,
GP,"[D , R U' R' U R U' R']",D R U' R' U R U' R' D' R U R' U' R U R',Bottom-Twister,
KL,"[R U' R' U R U' R' , D]",R U' R' U R U' R' D R U R' U' R U R' D',Bottom-Twister,
ST,"[D2 : [R U' R' U R U' R' , D]]",D2 R U' R' U R U' R' D R U R' U' R U R' D,Bottom-Twister,
HO,"[D' : [R U' R' U R U' R' , D']]",D' R U' R' U R U' R' D' R U R' U' R U R' D2,Bottom-Twister,
GT,"[D : [R U' R' U R U' R' , D2]]",D R U' R' U R U' R' D2 R U R' U' R U R' D,Bottom-Twister,
LO,"[D' : [R U' R' U R U' R' , D2]]",D' R U' R' U R U' R' D2 R U R' U' R U R' D',Bottom-Twister,
GH,"[D : [R U' R' U R U' R' , D]]",D R U' R' U R U' R' D R U R' U' R U R' D2,Bottom-Twister,
LS,"[D2 : [R U' R' U R U' R' , D']]",D2 R U' R' U R U' R' D' R U R' U' R U R' D',Bottom-Twister,
NR,Right Twist x3,R' D R D' R' D R D' U R' D R D' R' D R D' U R' D R D' R' D R D' U2,3-Twister,
EQ,Letf Twist x3,D R' D' R D R' D' R U D R' D' R D R' D' R U D R' D' R D R' D' R U2,3-Twister,
FN,U' Right Twist x3 U',U' R' D R D' R' D R D' U R' D R D' R' D R D' U R' D R D' R' D R D' U,3-Twister,
IQ,U' Left Twist x3 U',U' D R' D' R D R' D' R U D R' D' R D R' D' R U D R' D' R D R' D' R U,3-Twister,
KQ,BP KQ,R' D' R U R' D R U' D' R' U R U' R' D R U R' D' U' R D,TOWY,
NP,BK PN,D' R' D R U R' D' R U' D U' R' D U R D' R' U2 R D R' U D' R U,TOWY,
QO,BT OQ,D U' R D' R' U R D R' D' U' R U R' U' R D R' U R D' U' R' U,TOWY,
NT,BO TN,U' R D R' U R D' R2' F' R D' U' R' D R U2 R' D' R U' D R' F R,TOWY,
QS,BH SQ,U' R D' R' U R D R' D R' U R U' R' D R U R' D' U' R D',TOWY,
HN,BS HN,D' U' R D R' U R D' R' D U R2 D' R' U2 R D R' U2 R' U',TOWY,
GQ,BL GQ,D R' D' R U R' D R U' D' R' U R U' R' D R U R' D' U' R,TOWY,
LN,BG LN,R' D R U R' D' R2 U D R' D' R U2 R' D R U2 D' U' R' U',TOWY,
FR,Right Twist x3,R' D R D' R' D R D' U' R' D R D' R' D R D' U' R' D R D' R' D R D' U2,3-Twister,
EI,Left Twist x3,D R' D' R D R' D' R U' D R' D' R D R' D' R U' D R' D' R D R' D' R U2,3-Twister,
EK,AP KE,R' D' R U2 R' D R U2 D' U R2 D R U' R' D' R U R U' D,TOWY,
RP,AK PR,D U' R D R' U2 R D' R' U' D' R' D R' U R D' R' U' R2,TOWY,
OE,AT OE,D U' R D' R' U2 R D R' U' D' U' R' F R2 D R' U' R D' R' U R' F' R U,TOWY,
RT,AO TR,U' R D R' U2 R D' R' U' D' R' D R' U R D' R' U' R2 D,TOWY,
ES,AH SE,U' R D' R' U2 R D R' U' D U R2 D R U' R' D' R U R U' D',TOWY,
HR,AS HR,D' U' R D R' U2 R D' R' U' D U D R' F' D R U' R' D' R U R' F R D' U',TOWY,
EG,AL GE,D R' D' R U2 R' D R U2 D' U R2 D R U' R' D' R U R U',TOWY,
LR,AG LR,R' D R U2 R' D' R U2 D R' D R' U R D' R' U' R2 D',TOWY,
IK,DP KI,R' D' R U' R' D R U R' F2 R D' R' D F2 D' R D,TOWY,
FP,DK PF,D' R' D R U' R' D' R U D R' U' R U R' D' R U' R' D U R,TOWY,
IO,DT OI,D' R' D' R U' R' D R U D R D' U' R' D R U2 R' D' R U' D R',TOWY,
FT,DO TF,U' R D R' U' R D' R' U2 D' R' U' R U R' D' R U' R' D U R D,TOWY,
IS,DH SI,U' R D' R' U' R D R' U2 D R' D F2 D' R D R' F2 R D2,TOWY,
